,Vegetable_Name,year,month,Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
232,Capsicum,2022,12,41.54838709677419,50.306451612903224,59.32258064516129
233,Capsicum,2023,1,43.483870967741936,52.435483870967744,61.83870967741935
234,Capsicum,2023,2,45.17857142857143,54.767857142857146,64.55357142857143
235,Capsicum,2023,3,44.61290322580645,53.903225806451616,63.53225806451613
236,Capsicum,2023,4,45.13333333333333,54.71666666666667,64.46666666666667
237,Capsicum,2023,5,46.3,56.2,66.15
238,Carrot,2022,1,69.33333333333333,84.0,99.0
239,Carrot,2022,2,70.21428571428571,84.96428571428571,100.05357142857143
240,Carrot,2022,3,40.74193548387097,49.29032258064516,58.08064516129032
241,Carrot,2022,4,27.933333333333334,33.733333333333334,39.833333333333336
242,Carrot,2022,5,32.12903225806452,38.96774193548387,45.75806451612903
243,Carrot,2022,6,42.03333333333333,50.9,59.85
244,Carrot,2022,7,43.61290322580645,52.83870967741935,62.274193548387096
245,Carrot,2022,8,47.806451612903224,57.854838709677416,68.14516129032258
246,Carrot,2022,9,59.43333333333333,71.88333333333334,84.75
247,Carrot,2022,10,63.70967741935484,77.0,90.88709677419355
248,Carrot,2022,11,49.833333333333336,60.28333333333333,71.08333333333333
249,Carrot,2022,12,36.74193548387097,44.564516129032256,52.16129032258065
250,Carrot,2023,1,33.516129032258064,40.67741935483871,47.806451612903224
251,Carrot,2023,2,32.964285714285715,40.017857142857146,46.94642857142857
252,Carrot,2023,3,28.64516129032258,34.62903225806452,40.95161290322581
253,Carrot,2023,4,34.8,42.11666666666667,49.63333333333333
254,Carrot,2023,5,37.6,45.5,53.4
255,Cauliflower,2022,1,44.0,53.5,63.0
256,Cauliflower,2022,2,43.0,52.035714285714285,61.392857142857146
257,Cauliflower,2022,3,24.967741935483872,30.129032258064516,35.46774193548387
258,Cauliflower,2022,4,23.433333333333334,28.333333333333332,33.266666666666666
259,Cauliflower,2022,5,23.870967741935484,28.85483870967742,34.0
260,Cauliflower,2022,6,24.5,29.633333333333333,35.0
261,Cauliflower,2022,7,25.870967741935484,31.451612903225808,36.806451612903224
262,Cauliflower,2022,8,27.0,32.66129032258065,38.54838709677419
263,Cauliflower,2022,9,38.7,46.88333333333333,55.2
264,Cauliflower,2022,10,42.58064516129032,51.564516129032256,60.70967741935484
265,Cauliflower,2022,11,36.333333333333336,44.0,51.86666666666667
266,Cauliflower,2022,12,26.64516129032258,32.274193548387096,38.016129032258064
267,Cauliflower,2023,1,26.419354838709676,31.983870967741936,37.62903225806452
268,Cauliflower,2023,2,25.785714285714285,31.357142857142858,36.67857142857143
269,Cauliflower,2023,3,25.806451612903224,31.258064516129032,36.903225806451616
270,Cauliflower,2023,4,25.7,31.166666666666668,36.61666666666667
271,Cauliflower,2023,5,26.5,32.25,37.75
272,Cluster beans,2022,1,43.666666666666664,52.666666666666664,62.166666666666664
273,Cluster beans,2022,2,44.32142857142857,53.607142857142854,63.19642857142857
274,Cluster beans,2022,3,34.25806451612903,41.483870967741936,48.91935483870968
275,Cluster beans,2022,4,32.96666666666667,39.96666666666667,46.916666666666664
276,Cluster beans,2022,5,35.064516129032256,42.435483870967744,50.0
277,Cluster beans,2022,6,33.9,40.983333333333334,48.2
278,Cluster beans,2022,7,32.935483870967744,39.91935483870968,46.983870967741936
279,Cluster beans,2022,8,32.87096774193548,39.79032258064516,46.88709677419355
280,Cluster beans,2022,9,61.63333333333333,74.53333333333333,87.85
281,Cluster beans,2022,10,77.87096774193549,94.16129032258064,110.83870967741936
282,Cluster beans,2022,11,61.96666666666667,75.0,88.4
283,Cluster beans,2022,12,43.61290322580645,52.806451612903224,62.24193548387097
284,Cluster beans,2023,1,42.58064516129032,51.54838709677419,60.61290322580645
285,Cluster beans,2023,2,42.82142857142857,51.875,61.07142857142857
286,Cluster beans,2023,3,43.25806451612903,52.41935483870968,61.83870967741935
287,Cluster beans,2023,4,42.1,50.9,59.983333333333334
288,Cluster beans,2023,5,42.0,50.75,60.0
289,Coconut,2022,1,33.666666666666664,40.666666666666664,48.0
290,Coconut,2022,2,34.785714285714285,42.142857142857146,49.5
291,Coconut,2022,3,25.29032258064516,30.612903225806452,36.064516129032256
292,Coconut,2022,4,21.6,26.033333333333335,30.716666666666665
293,Coconut,2022,5,18.0,21.758064516129032,25.64516129032258
294,Coconut,2022,6,29.3,35.45,41.78333333333333
295,Coconut,2022,7,33.83870967741935,40.91935483870968,48.17741935483871
296,Coconut,2022,8,33.83870967741935,40.96774193548387,48.12903225806452
297,Coconut,2022,9,32.96666666666667,39.85,47.016666666666666
298,Coconut,2022,10,31.870967741935484,38.645161290322584,45.38709677419355
299,Coconut,2022,11,30.5,36.983333333333334,43.516666666666666
300,Coconut,2022,12,29.06451612903226,35.20967741935484,41.41935483870968
301,Coconut,2023,1,29.806451612903224,36.145161290322584,42.58064516129032
302,Coconut,2023,2,29.392857142857142,35.642857142857146,42.035714285714285
303,Coconut,2023,3,27.225806451612904,33.03225806451613,38.83870967741935
304,Coconut,2023,4,26.133333333333333,31.6,37.4
305,Coconut,2023,5,25.9,31.35,36.9
306,Colocasia,2022,1,24.666666666666668,30.0,35.166666666666664
307,Colocasia,2022,2,25.857142857142858,31.285714285714285,36.910714285714285
308,Colocasia,2022,3,24.64516129032258,29.79032258064516,35.20967741935484
309,Colocasia,2022,4,24.2,29.083333333333332,34.56666666666667
310,Colocasia,2022,5,25.35483870967742,30.693548387096776,36.096774193548384
311,Colocasia,2022,6,24.9,30.066666666666666,35.583333333333336
312,Colocasia,2022,7,25.516129032258064,30.838709677419356,36.46774193548387
313,Colocasia,2022,8,24.741935483870968,29.774193548387096,35.32258064516129
314,Colocasia,2022,9,25.466666666666665,30.766666666666666,36.38333333333333
315,Colocasia,2022,10,24.483870967741936,29.532258064516128,34.82258064516129
316,Colocasia,2022,11,25.966666666666665,31.416666666666668,37.0
317,Colocasia,2022,12,25.774193548387096,31.241935483870968,36.693548387096776
318,Colocasia,2023,1,25.129032258064516,30.306451612903224,35.774193548387096
319,Colocasia,2023,2,26.214285714285715,31.678571428571427,37.375
320,Colocasia,2023,3,26.161290322580644,31.612903225806452,37.38709677419355
321,Colocasia,2023,4,25.5,30.85,36.3
322,Colocasia,2023,5,25.6,30.9,36.65
323,Colocasia Leaves,2022,1,12.666666666666666,15.5,18.0
